date,source.name,title,description,content,title_len,description_len
2026-06-24,The Times of India,Goyal heads to UK ahead of India-UK trade pact rollout,"India's Commerce Minister Piyush Goyal is set to visit the UK from June 25-27 to finalize crucial trade agreements, including the Comprehensive Economic and Trade Agreement (CETA) and the Double Contribution Convention (DCC), both slated to take effect on Jul…","New Delhi: Ahead of the entry into force of the India-UK Comprehensive Economic and Trade Agreement (CETA) and the companion Double Contribution Convention (DCC) on July 15, commerce and industry min… [+2537 chars]",54,260
2026-06-24,The Times of India,Piyush Goyal to visit London before India-UK CETA comes into force,"Commerce Minister Piyush Goyal's UK visit from June 25-27 aims to finalize preparations for the India-UK CETA and DCC, set to launch July 15. Discussions with UK officials will focus on operationalizing these agreements, boosting market access for Indian expo…",Commerce and Industry Minister Piyush Goyal will visit the United Kingdom from June 25-27 to review preparations for the implementation of the India-UK Comprehensive Economic and Trade Agreement (CET… [+3115 chars],66,260
2026-06-24,Www.gov.uk,Government has secured £100 billion of clean energy investment,Energy Secretary announces that government has secured £100 billion of private clean energy investment.,"<ul><li>Over £100 billion private investment announced into clean energy this parliament, following recent investment from Japan and Sweden</li><li>It comes one year after the government launched its… [+8961 chars]",62,103
2026-06-24,ComputerWeekly.com,Pegasystems CEO and founder Alan Trefler on AI agent ‘madness’,Pegasystems boss criticises big software suppliers for pushing enterprises to deploy unpredictable AI agents,"Mainstream software suppliers are pursuing a philosophy of madness by persuading enterprises to deploy thousands of artificial intelligence (AI) agents, says Alan Trefler, the CEO and founder of Pega… [+8135 chars]",62,108
2026-06-24,GlobeNewswire,KDOA Announced the availability of its SR 26-2 Readiness Assessment and updated Model IQ governance framework,"With the 2011 standard now superseded, KDOA and its Model IQ platform help banking organizations map their model risk programs to the revised guidance, and govern the AI models the regulators deliberately left out of scope. With the 2011 standard now supersed…","San Francisco, CA, June 24, 2026 (GLOBE NEWSWIRE) -- Kevin D. Oden &amp; Associates (KDOA), a model risk management and quantitative advisory firm, today shared its perspective on SR 26-2, the revise… [+4836 chars]",109,260
2026-06-24,ComputerWeekly.com,Overwhelming support for Microsoft SMS designation in CMA responses,"Some 25 organisations back Strategic Market Status for Microsoft’s business software ecosystem, while the Open Cloud Coalition estimates £60m in annual public sector costs","Most organisations that submitted comments to the Competition and Markets Authority (CMA) including Google, the Lloyds Market Association, Amnesty International and the Startup Coalition have called … [+4866 chars]",67,171
2026-06-24,ComputerWeekly.com,"The £1,100 lock-in: CMA Microsoft probe exposes software ecosystem at a crossroads","A parish council, a £60m public sector bill, and the AI question that could define UK digital competition for a generation in responses to the CMA’s Strategic Market Status investigation","Killinghall Parish Council nine councillors, one clerk, 10 users pays £1,100 a year for a Microsoft ecosystem it never planned to buy. The council wanted Microsoft Teams. It discovered that full func… [+17428 chars]",82,186
2026-06-23,Biztoc.com,Iran says it will ‘administer’ Strait of Hormuz,"Iran will “administer” the Strait of Hormuz, Tehran’s chief negotiator said, in what would be a major diplomatic victory.
Iran’s wins seem to be stacking up: It plans to make vessels traversing the waterway buy insurance, Lloyd’s List reported, something the …","Iran will administer the Strait of Hormuz, Tehrans chief negotiator said, in what would be a major diplomatic victory.Irans wins seem to be stacking up: It plans to make vessels traversing the waterw… [+139 chars]",47,260
2026-06-23,Retailbankerinternational.com,Lloyds to hire around 300 for agentic AI roles,"The UK-based lender expects to create more than 1,000 roles in 2026 as part of a broader expansion of its AI work.","Lloyds Banking Group has revealed plans to fill close to 300 roles linked to agentic AI, drawing candidates from both inside and outside the organisation.
The planned hires include data and AI scien… [+1959 chars]",46,114
2026-06-23,Naftemporiki.gr,METAVASEA programme enters third phase; preparing for green transition,"The METAVASEA programme, implemented by HELMEPA and aimed at supporting shipping’s transition towards decarbonisation and sustainability in the Eastern Mediterranean, is entering the third phase.
The new phase focuses on…
METAVASEA programme enters third phas…","The METAVASEA programme, implemented by HELMEPA and aimed at supporting shipping’s transition towards decarbonisation and sustainability in the Eastern Mediterranean, is entering the third phase.
Th… [+1174 chars]",70,260
2026-06-23,CNN,"150,000 square feet of barnacles and sea gunk: The latest problem in the Strait of Hormuz | CNN Business","“Four months?” said Derek Hamm of Obsessive Compulsive Divers in Marathon, Florida. “Man. That’s plenty of time for a lot of gross stuff to accumulate.”","Summary
<ul><li>Hundreds of oil tankers stuck in the Strait of Hormuz for months have accumulated thick layers of barnacles and marine life.</li><li>Diving teams are now charging upwards of five fig… [+5126 chars]",104,152
2026-06-23,Www.gov.uk,National Housing Bank appoints four industry leaders to executive team,Quartet of highly experienced leaders join bank on a mission to accelerate housing delivery though purpose-led finance,"Four senior leaders with extensive investment and real estate expertise are to join the National Housing Bank, a Homes England company. 
They have been appointed to executive roles at the newly laun… [+10553 chars]",70,118
2026-06-23,The Times of India,Madhusudan Kela-backed firm picks stake in SME stock Yash Highvoltage via preferential issue,"Yash Highvoltage shares surged after ace investor Madhusudan Kela's firm bought nearly 14,000 shares. The company's board approved a preferential issue of up to Rs 151 crore to fund expansion, including enhancing its Resin-Impregnated Paper bushing manufactur…",Shares of Yash Highvoltage rallied as much as 12.4% to their days high of Rs 940 on the BSE on Tuesday after ace investor Madhusudan Kelas firm Anantroop Financial Advisory Services purchased nearly … [+3235 chars],92,260
2026-06-23,PRNewswire,Lloyds Energy Ltd Announces Strategic Evaluation of LNG and Regasification Opportunities Across Emerging Energy Markets,"DUBAI, UAE, June 23, 2026 /PRNewswire/ -- Lloyds Energy Ltd today announced that it is actively evaluating a range of Liquefied Natural Gas (LNG), Floating Storage and Regasification Unit (FSRU), and downstream gas infrastructure opportunities in high-growth …","DUBAI, UAE, June 23, 2026 /PRNewswire/ -- Lloyds Energy Ltd today announced that it is actively evaluating a range of Liquefied Natural Gas (LNG), Floating Storage and Regasification Unit (FSRU), and… [+2701 chars]",119,260
2026-06-23,pymnts.com,Banks Replace Real Customers With AI Clones for Product Testing,Testing a new credit card or banking product once required months of regulatory vetting and customer recruitment. Now banks build the customer instead. Financial institutions are replacing live customers with artificial intelligence-generated stand-ins — synt…,Testing a new credit card or banking product once required months of regulatory vetting and customer recruitment. Now banks build the customer instead.Financial institutions are replacing live custom… [+3099 chars],63,260
2026-06-22,Breitbart News,Tankers Continue Moving Through Strait of Hormuz Despite Iranian Threats,"Although Iran proclaimed the Strait of Hormuz was once again closed on Saturday, tankers continued to move through the vital waterway, including Very Large Crude Carriers (VLCCs) and liquid natural gas (LNG) tankers.
The post Tankers Continue Moving Through S…","Although Iran proclaimed the Strait of Hormuz was once again closed on Saturday, tankers continued to move through the vital waterway, including Very Large Crude Carriers (VLCCs) and liquid natural g… [+4338 chars]",72,260
2026-06-22,OilPrice.com,The Hormuz Threat Oil Markets Are Ignoring,"Threats from President Trump to bomb Iran again and Iranian negotiators leaving the talks in Switzerland once again clouded the outlook for one of the world’s busiest oil chokepoints. Talks are progressing, but the degree of uncertainty about global oil suppl…","Shipping companies remain cautious about…
Oil and gas flows through…
Demand destruction is capping oil…
By Irina Slav - Jun 22, 2026, 4:00 PM CDTThreats from President Trump to bomb Iran again and… [+5102 chars]",42,260
2026-06-22,Digital Journal,Your plan for the next system outage may be built on wishful thinking,"Curtis Simpson of Gambit Security says recovery time has become the test many tech leaders still can’t measure
The post Your plan for the next system outage may be built on wishful thinking appeared first on Digital Journal.","Canadian CIOs have spent a decade building programs to stop data breaches. They got good at it. Now the call that can define a career is a different one entirely.
The systems are down.
Six hours in… [+8177 chars]",69,224
2026-06-22,Livemint,"'AI is a tool, not an authority': Relying on AI for financial advice? Key risks investors should know","AI for financial advice is gaining traction, particularly among young adults. However, experts warn that AI can overlook real-world situations, leading to impractical recommendations.","The use of AI for financial guidance has risen sharply in recent years. In the United Kingdom, around 28 million adults used artificial intelligence tools for personal finance advice last year, accor… [+3717 chars]",101,183
2026-06-22,Livemint,Axis Bank hires McKinsey veteran as AI officer to drive enterprise-wide push,Namrata Dubashi joins as AI chief to lead a 50-member team and integrate the technology across the bank’s operations.,"Axis Bank, Indias third-largest private lender, has hired Namrata Dubashi, a senior executive at McKinsey &amp; Co, as its artificial intelligence (AI) officer to spearhead its AI initiatives. The ap… [+4411 chars]",76,117
2026-06-22,ComputerWeekly.com,"Lloyds Bank staff have taken 400,000 AI courses since January",UK bank staff have already taken artificial intelligence-related training courses as part of AI Academy,"Lloyds Banking Group staff are bolstering their artificial intelligence (AI) skills while the bank is adding 300 roles that will focus on agentic AI.
In January, the bank announced plans train all 6… [+3285 chars]",61,103
2026-06-22,ComputerWeekly.com,Santander extends staff access to AI as first quarter delivers €35m value,Spanish bank expects artificial intelligence use to add €200m in value this year through cost savings and extra revenues,"Santander is extending access to artificial intelligence (AI) tools to all of its staff across the globe following the generation of 35m in business value in the first three months of the year.
The … [+2886 chars]",73,120
2026-06-22,gcaptain.com,Hormuz Transit Security Is ‘Hour to Hour’,"By Yash Roy Jun 21, 2026 (Bloomberg) –US efforts to open shipping channels in the Strait of Hormuz will allow a gradual increase in vessel transit, though security remains volatile, Chubb...","By Yash Roy
Jun 21, 2026 (Bloomberg) –US efforts to open shipping channels in the Strait of Hormuz will allow a gradual increase in vessel transit, though security remains volatile, Chubb Ltd. Chief… [+1979 chars]",41,190
2026-06-22,OilPrice.com,The AI Arms Race Isn’t About Technology – It’s About Electricity,"Two and a half years ago, NVIDIA was a $300 billion gaming chip company. Today it's the most valuable company in history at over $4 trillion. Investors who saw what was coming and got positioned early made generational money. A $10,000 stake in NVIDIA at the …","Global energy-efficiency gains have stalled…
Lloyds of London and Chubb…
China is pioneering underwater and…
Set us as your preferred Google source
By Josh Owens - Jun 21, 2026, 7:00 PM CDTTwo an… [+18257 chars]",64,260
2026-06-21,BBC News,How many banks have closed in your area? See our chart,"When 84-year-old Maggie Dodd discovered that the last remaining bank in Lochgilphead was closing, she began to panic.","But Anna Dudziak, the sub-postmaster in Lochgilphead, says she can't offer as many transactions as a bank.
""The problem is they're telling people to go to the post office, saying 'they can do it for… [+1130 chars]",54,117
2026-06-21,Arizona Desert Swarm,Top 5 Arizona coaching performances from 2025-26 season,"The 2025-26 athletic calendar year has wrapped with many programs finding success in the post season. Several coaches led their respective programs to postseason appearances and improved seasons. As a result, a majority of the coaches have earned and signed c…","The 2025-26 athletic calendar year has wrapped with many programs finding success in the post season. Several coaches led their respective programs to postseason appearances and improved seasons.
As… [+8080 chars]",55,260
2026-06-21,The Times of India,Indian captain of sanctioned Russian oil tanker arrested in UK; Family seeks government intervention,"An Indian captain, Ajay Pant, has been arrested in the UK and charged with breaching sanctions after his Russian oil tanker was intercepted in the English Channel. Pant's family in Uttarakhand has appealed to the Indian government for his release. The vessel,…",An Indian captain of a 'sanctioned' Russian shadow- fleet oil tanker has been arrested in the UK and appeared in court charged with breaching sanctions. The tanker was intercepted by British armed fo… [+3374 chars],100,260
