date,source.name,title,description,content,title_len,description_len
2026-06-24,New York Post,Deadly ‘Omega’ heat wave cooking Europe expected to shatter more records,"The record-breaking heat caused the deaths of dozens of people, closed schools, knocked out electricity and wiped out poultry farms and continues to worsen.","PARIS/LONDON/ROME — Western Europe was in the grip of a heat wave on Wednesday that shattered records, caused the deaths of dozens of people, closed schools, knocked out electricity and wiped out pou… [+6542 chars]",72,156
2026-06-24,Dailymail.com,Career criminal jailed for third time in 18 months tells court he is suing police after he was knocked off his bike by an officer in a patrol car who tried to stop him,"James McNeilly, whose criminal record stretches back 25 years and includes violent robberies and defrauding a blind man, was in court to be jailed for the third time in 18 months.","A career criminal with more than 200 offences to his name is suing police after he was knocked off his bike by a patrol car when the officer tried to stop him cycling away.
James McNeilly, whose cri… [+6494 chars]",167,179
2026-06-24,The Times of India,Noel Tata exiting Trent: The quiet Tata who built a loud success story,"Noel Tata reportedly told shareholders at Trent's annual general meeting that it would be his last as chairman, signalling the close of a transformative era. Under his leadership, Trent evolved from a modest retailer into one of India's most valuable consumer…","When Noel Tata reportedly told shareholders at Trents annual general meeting on Monday that this will be my last annual general meeting as chairman, it marked the approaching end of one of the most c… [+8205 chars]",70,260
2026-06-24,Dailymail.com,Urgent recall on apples and kiwi fruit sold at supermarkets across the country over Salmonella fears,An alert was issued by the Food Standards Agency stating PrepWorld has recalled several fruit packets from major grocery stores after testing identified Salmonella in apple and kiwi.,"There has been an urgent recall on apples and kiwi fruit sold at supermarkets across Britain following fears of potential Salmonella contamination. 
An alert was issued on Tuesday by the Food Standa… [+4332 chars]",100,182
2026-06-23,RTE,"Late payments among issues for suppliers, survey finds","Cancelling perishable product orders at short notice, late payments, and a fear of backlash for reporting unfair trading practices are among the main issues suppliers encounter when dealing with grocery retailers and wholesalers.","Cancelling perishable product orders at short notice, late payments, and a fear of backlash for reporting unfair trading practices (UTPs) are among the main issues suppliers encounter when dealing wi… [+3314 chars]",54,229
2026-06-23,New Zealand Herald,"How NZ’s cost-of-living crunch compares with the UK, US, Australia and Canada – Inside Economics",ANALYSIS: Liam Dann answers reader questions about the economy.,"Is what NZers are experiencing the same in other countries, or have we got it worse (or better)?
<ul><li>Is anybody, company, industry or country winning, ie, do the increased costs were facing mean… [+11730 chars]",96,63
2026-06-23,Dailymail.com,"Farm which supplied pork to major supermarkets including Tesco, Waitrose and Sainsbury's admits animal cruelty offences after undercover filming captured staff abusing pigs","The footage, which was taken over an eight-day period, caught workers attacking pigs with a long metal fencing pole, known as a hurdle pin, in two separate incidents.","A farm business which supplies free range pork to major supermarket chains has admitted animal offences after undercover footage captured staff bludgeoning pigs.
Norfolk Free Range, which is accredi… [+4280 chars]",172,166
2026-06-23,Dailymail.com,"Tesco security guard, 58, dies after choking on doughnut in front of colleagues and customers at work","Mohamed Nassar, 58, suffered a cardiac arrest following the incident while working at the Tesco Express store on New Bailey Street in Salford on May 8.","A Tesco security guard has died after choking on a doughnut at work in front of colleagues and customers.
Mohamed Nassar, 58, suffered a cardiac arrest following the incident while working at the Te… [+3150 chars]",101,151
2026-06-23,RTE,Diageo Ireland informs Government of potential job cuts,Guinness parent company Diageo has informed the Government of potential job cuts.,"Guinness parent company Diageo has informed the Government of potential job cuts.
A spokesperson for the Department of Enterprise said it received a notification of proposed collective redundancies … [+1634 chars]",55,81
2026-06-23,Protothema.gr,"Greek supermarket basket remains cheapest, but Greece has the second-highest VAT rate in Europe","VAT remains a major factor in cross-country price comparisons, with Greece taxing many food products more heavily than most of the 10 markets examined
The post Greek supermarket basket remains cheapest, but Greece has the second-highest VAT rate in Europe app…","Prices for a typical household basket remain lower in Greek supermarkets than in France, the United Kingdom, Italy, Spain, Portugal, Germany, Romania and Bulgaria, according to the latest recurring s… [+6030 chars]",95,260
2026-06-23,Www.gov.uk,National Housing Bank appoints four industry leaders to executive team,Quartet of highly experienced leaders join bank on a mission to accelerate housing delivery though purpose-led finance,"Four senior leaders with extensive investment and real estate expertise are to join the National Housing Bank, a Homes England company. 
They have been appointed to executive roles at the newly laun… [+10553 chars]",70,118
2026-06-23,New Zealand Herald,Grocery tourism: NZ favourite Perky Nana named one of world’s most sought-after supermarket snacks,Social searches for Cadbury's Perky Nana have jumped 43% globally over the past year.,"Interest in the Propitious Mango Ice Cream, a viral fruit-shaped dessert produced in China, outstripped all other snacks by a mile with social searches up by 436% an unsurprising feat given its rapid… [+2383 chars]",98,85
2026-06-23,New Zealand Herald,Grocery store tourism: NZ favourite Perky Nana named one of world’s most sought-after supermarket snacks,Social searches for the Kiwi choc treat have jumped 43% globally over the past year.,"Interest in the Propitious Mango Ice Cream, a viral fruit-shaped dessert produced in China, outstripped all other snacks by a mile with social searches up by 436% an unsurprising feat given its rapid… [+2386 chars]",104,84
